Date,Receipt_ID,Product_Name,Brand_Name,Category,Quantity,Selling_Price,Cost_Price,Stock_For_Month
17/01/2023,REC-Tpp-0300,Laundry Detergent,Clean Wave,Household,5,11.51,8.5,178
18/01/2023,REC-bQH-3257,Canned Tomatoes,Hearty Harvest,Pantry,5,2.13,1.66,134
18/01/2023,REC-LBZ-6571,Chicken Breast,Lean Meats,Meat,1,9.51,8.18,130
19/01/2023,REC-JIR-7324,Yogurt,Morning Bliss,Dairy,2,3.71,3.02,116
19/01/2023,REC-hCf-3296,Juice,Fresh Squeeze,Beverages,1,5.37,4.01,190
19/01/2023,REC-MnS-7759,Toilet Paper,Quilted Comfort,Household,5,9.06,6.88,193
19/01/2023,REC-QpI-3184,Rice,Aussie Grains,Pantry,5,5.44,4.66,142
19/01/2023,REC-eub-3047,Paper Towels,Quick Dry,Household,5,6.8,5.0,171
19/01/2023,REC-bBa-1361,Apples,Orchard Fresh,Produce,3,2.1,1.68,178
19/01/2023,REC-kjP-2285,Olive Oil,Mediterranean Harvest,Pantry,3,6.11,4.89,138
19/01/2023,REC-FCl-8135,Biscuits,Cookie Crumble,Snacks,5,2.96,2.2,144
19/01/2023,REC-gvp-0200,Canned Tomatoes,Simply Canned,Pantry,5,1.93,1.69,123
20/01/2023,REC-CcG-0894,Cheese,Gourmet Gold,Dairy,3,6.04,4.65,103
20/01/2023,REC-tDc-9982,Flour,Golden Grains,Pantry,5,7.75,5.85,99
20/01/2023,REC-YOI-3492,Tea Bags,Tea Time,Beverages,3,3.87,2.78,107
20/01/2023,REC-CIm-8157,Dish Soap,Power Clean,Household,3,11.56,8.44,172
20/01/2023,REC-ddj-0615,Biscuits,Aussie Bakes,Snacks,3,3.54,2.63,164
20/01/2023,REC-Aez-3729,Chicken Breast,Lean Meats,Meat,5,18.5,14.87,63
20/01/2023,REC-Vxy-6264,Milk,Farmers Choice,Dairy,4,5.48,4.41,129
20/01/2023,REC-SbR-1128,Sugar,Cane Sugar Co.,Pantry,5,2.94,2.63,192
20/01/2023,REC-yQG-4800,Rice,Aussie Grains,Pantry,1,3.84,3.39,178
21/01/2023,REC-dNg-9990,Milk,Farmers Choice,Dairy,5,5.71,4.55,132
21/01/2023,REC-MRZ-3470,Yogurt,Pure Greek,Dairy,1,2.86,2.49,85
21/01/2023,REC-ZUW-2989,Cereal,Healthy Start,Breakfast,3,6.65,5.32,161
21/01/2023,REC-nVl-4822,Lettuce,Crisp Greens,Produce,1,1.99,1.72,155
21/01/2023,REC-AXb-5093,Biscuits,Sweet Treats,Snacks,1,3.6,2.76,109
21/01/2023,REC-Wps-6054,Juice,Fresh Squeeze,Beverages,4,5.13,4.17,156
22/01/2023,REC-paL-7713,Salt,Aussie Salt,Pantry,3,8.03,6.74,200
23/01/2023,REC-lNo-6759,Dish Soap,Power Clean,Household,2,8.24,6.59,127
23/01/2023,REC-Hds-4587,Bananas,Island Harvest,Produce,2,3.82,2.74,191
23/01/2023,REC-RKz-1367,Beef Mince,Butcher's Best,Meat,1,18.58,14.78,159
23/01/2023,REC-omg-6549,Salt,Aussie Salt,Pantry,4,3.81,2.74,161
23/01/2023,REC-ypF-8314,Tea Bags,Bushland Brews,Beverages,2,5.26,4.6,176
23/01/2023,REC-TaC-9381,Eggs,Golden Yolk,Dairy,2,2.68,2.19,115
23/01/2023,REC-Iyp-3371,Flour,The Baker's Choice,Pantry,4,4.11,3.13,85
23/01/2023,REC-NJv-0956,Rice,Aussie Grains,Pantry,2,6.56,4.69,182
24/01/2023,REC-xPQ-2260,Canned Tomatoes,Simply Canned,Pantry,5,6.33,4.78,174
24/01/2023,REC-Bzp-5492,Sugar,Sweet Stuff,Pantry,4,8.07,6.54,139
24/01/2023,REC-BQK-5403,Milk,Dairy Fresh,Dairy,2,3.16,2.63,200
24/01/2023,REC-RLt-9271,Coffee,Urban Brew,Beverages,2,3.44,2.51,126
24/01/2023,REC-ctg-5470,Coffee,Urban Brew,Beverages,1,4.98,3.89,197
24/01/2023,REC-kEJ-4593,Cheese,Blockbuster Cheeses,Dairy,4,4.45,3.57,174
24/01/2023,REC-NXk-5709,Sugar,Sweet Stuff,Pantry,5,3.3,2.94,134
24/01/2023,REC-CnW-1826,Soft Drink,Fizz Co.,Beverages,4,4.93,3.92,190
24/01/2023,REC-lgI-7999,Lettuce,Garden Select,Produce,5,3.05,2.46,179
25/01/2023,REC-wED-4134,Flour,Golden Grains,Pantry,2,8.81,6.75,114
25/01/2023,REC-Pgv-5044,Laundry Detergent,Clean Wave,Household,2,11.24,8.41,96
25/01/2023,REC-GoG-1614,Laundry Detergent,Fresh Scent,Household,5,7.77,5.98,182
25/01/2023,REC-RqW-1424,Chips,Crunchy Bites,Snacks,5,4.78,3.59,106
25/01/2023,REC-eUH-0546,Yogurt,Creamy Delights,Dairy,5,2.77,2.07,185
25/01/2023,REC-Jgz-7257,Biscuits,Sweet Treats,Snacks,2,3.46,3.09,135
25/01/2023,REC-Sni-7283,Sugar,Sweet Stuff,Pantry,1,3.87,3.07,63
26/01/2023,REC-XAZ-3042,Yogurt,Pure Greek,Dairy,5,5.37,4.67,180
26/01/2023,REC-QQl-3225,Beef Mince,Farm Fresh Meats,Meat,2,14.87,12.91,70
26/01/2023,REC-JId-7574,Flour,Golden Grains,Pantry,5,5.95,4.84,179
26/01/2023,REC-Xeb-2169,Paper Towels,Quick Dry,Household,2,6.55,5.68,159
26/01/2023,REC-mxZ-8219,Canned Beans,Hearty Harvest,Pantry,4,3.24,2.63,182
26/01/2023,REC-KZN-2347,Chicken Breast,Lean Meats,Meat,1,11.47,10.16,64
26/01/2023,REC-vyi-0094,Chips,Crunchy Bites,Snacks,1,5.36,3.94,117
26/01/2023,REC-rPn-8550,Laundry Detergent,Aussie Wash,Household,1,6.77,4.96,111
27/01/2023,REC-BGO-1287,Rice,Aussie Grains,Pantry,2,3.98,3.33,54
27/01/2023,REC-YOi-7363,Biscuits,Sweet Treats,Snacks,3,2.07,1.79,104
27/01/2023,REC-HNR-5858,Apples,Local Grown,Produce,4,1.9,1.63,114
27/01/2023,REC-jMW-8088,Chicken Breast,Prime Cuts,Meat,2,17.16,14.38,97
27/01/2023,REC-wDl-4004,Canned Tomatoes,Hearty Harvest,Pantry,3,3.65,3.29,155
27/01/2023,REC-yZJ-3540,Beef Mince,Prime Cuts,Meat,4,11.86,10.24,135
27/01/2023,REC-Kwe-1835,Beef Mince,Farm Fresh Meats,Meat,4,17.04,14.47,178
27/01/2023,REC-CPO-5677,Pasta,Grainfield Co.,Pantry,2,6.21,5.43,138
27/01/2023,REC-cDY-3333,Canned Beans,Simply Canned,Pantry,2,7.69,6.96,199
28/01/2023,REC-bsR-7654,Laundry Detergent,Clean Wave,Household,3,9.49,8.27,191
28/01/2023,REC-cXk-8327,Laundry Detergent,Fresh Scent,Household,1,7.28,5.49,134
28/01/2023,REC-WKQ-1802,Bread,Sunrise Bakes,Bakery,5,3.61,2.77,195
28/01/2023,REC-Quh-9946,Eggs,Sunny-Side,Dairy,4,5.65,4.42,144
28/01/2023,REC-Goy-1932,Olive Oil,Golden Grove,Pantry,4,2.54,1.99,128
28/01/2023,REC-Rwc-1890,Tea Bags,Bushland Brews,Beverages,5,5.28,4.02,65
28/01/2023,REC-EBk-7890,Lettuce,Crisp Greens,Produce,5,3.25,2.52,189
28/01/2023,REC-yIt-5977,Cheese,Blockbuster Cheeses,Dairy,3,4.86,3.97,185
29/01/2023,REC-DOP-6741,Tea Bags,Bushland Brews,Beverages,5,6.13,4.53,92
29/01/2023,REC-tEx-7110,Apples,Orchard Fresh,Produce,1,2.46,2.12,93
29/01/2023,REC-xjS-1940,Dish Soap,Power Clean,Household,4,6.39,4.63,111
31/01/2023,REC-KZb-1533,Apples,Local Grown,Produce,5,2.3,1.98,108
31/01/2023,REC-wuy-2627,Beef Mince,Prime Cuts,Meat,1,15.63,12.13,192
31/01/2023,REC-oPY-7732,Toilet Paper,Quilted Comfort,Household,4,9.61,8.34,179
31/01/2023,REC-zob-3710,Eggs,Farmstead,Dairy,1,5.8,4.85,70
31/01/2023,REC-mrd-2371,Canned Tomatoes,Hearty Harvest,Pantry,4,7.93,5.77,183
31/01/2023,REC-eUH-2920,Canned Tomatoes,Hearty Harvest,Pantry,5,6.69,5.95,183
31/01/2023,REC-cds-6480,Eggs,Farmstead,Dairy,5,5.06,3.69,146
31/01/2023,REC-WTp-9345,Chicken Breast,Prime Cuts,Meat,4,11.12,8.61,146
31/01/2023,REC-RHV-6667,Paper Towels,Quick Dry,Household,2,4.85,4.06,178
31/01/2023,REC-NTp-2241,Cheese,Blockbuster Cheeses,Dairy,3,4.55,3.87,92
01/02/2023,REC-jYH-1722,Biscuits,Aussie Bakes,Snacks,4,2.54,1.95,118
01/02/2023,REC-tRX-5292,Canned Tomatoes,Simply Canned,Pantry,5,5.61,4.62,170
01/02/2023,REC-uZS-7160,Flour,Golden Grains,Pantry,2,6.78,4.91,153
01/02/2023,REC-rxK-0809,Dish Soap,Sparkle Clean,Household,1,8.0,6.64,162
01/02/2023,REC-rvT-5285,Chicken Breast,Lean Meats,Meat,4,10.27,8.61,50
01/02/2023,REC-gRq-2894,Yogurt,Morning Bliss,Dairy,2,6.71,4.9,65
01/02/2023,REC-wTZ-0586,Cereal,Healthy Start,Breakfast,4,3.59,3.18,155
01/02/2023,REC-nsl-0985,Cheese,Blockbuster Cheeses,Dairy,1,6.49,4.96,156
01/02/2023,REC-fsJ-0534,Beef Mince,Butcher's Best,Meat,5,14.98,12.03,155
01/02/2023,REC-gjZ-9772,Sugar,Sweet Stuff,Pantry,5,2.11,1.73,53
02/02/2023,REC-PWs-3218,Cereal,Golden Grains,Breakfast,1,4.75,3.63,52
02/02/2023,REC-YDF-7206,Bananas,Island Harvest,Produce,2,2.81,2.14,88
02/02/2023,REC-mUL-9826,Cheese,Australian Cheeses,Dairy,3,4.49,3.31,198
02/02/2023,REC-bxo-5390,Cheese,Blockbuster Cheeses,Dairy,2,5.17,4.43,90
02/02/2023,REC-Pti-8213,Chicken Breast,Lean Meats,Meat,5,13.94,11.31,125
03/02/2023,REC-tBe-3573,Pasta,Grainfield Co.,Pantry,4,2.86,2.24,94
03/02/2023,REC-lrz-8285,Dish Soap,Sparkle Clean,Household,1,9.07,6.65,74
03/02/2023,REC-nwr-1367,Coffee,Aussie Roast,Beverages,1,5.12,4.47,86
03/02/2023,REC-QfU-1432,Canned Tomatoes,Simply Canned,Pantry,2,6.67,5.0,113
03/02/2023,REC-bRu-3867,Biscuits,Cookie Crumble,Snacks,2,3.38,2.9,125
03/02/2023,REC-wje-7335,Toilet Paper,Soft Touch,Household,4,5.63,4.63,123
03/02/2023,REC-bSE-7199,Chicken Breast,Lean Meats,Meat,5,15.14,12.68,87
03/02/2023,REC-tCU-9328,Beef Mince,Butcher's Best,Meat,2,9.6,8.65,55
03/02/2023,REC-NId-1851,Coffee,Bean Supreme,Beverages,2,2.3,1.73,102
03/02/2023,REC-NzM-1887,Dish Soap,Eco-Wash,Household,4,4.52,3.3,144
04/02/2023,REC-VWa-5414,Toilet Paper,Quilted Comfort,Household,3,4.64,3.78,193
04/02/2023,REC-RYV-6256,Chicken Breast,Butcher's Best,Meat,1,15.03,12.74,155
04/02/2023,REC-djv-5433,Laundry Detergent,Clean Wave,Household,1,4.78,4.01,103
04/02/2023,REC-jWF-9176,Chips,Crunchy Bites,Snacks,1,4.83,3.57,90
04/02/2023,REC-SMI-2224,Coffee,Bean Supreme,Beverages,5,6.13,4.96,142
04/02/2023,REC-VbZ-2285,Coffee,Urban Brew,Beverages,5,2.59,2.28,134
04/02/2023,REC-ytC-0243,Lettuce,Garden Select,Produce,4,3.95,3.12,144
04/02/2023,REC-fUQ-8445,Laundry Detergent,Aussie Wash,Household,2,5.73,4.25,171
04/02/2023,REC-HSe-0582,Bananas,Island Harvest,Produce,2,3.75,2.93,156
04/02/2023,REC-oQy-5143,Toilet Paper,Quilted Comfort,Household,2,10.66,8.09,67
05/02/2023,REC-Qyi-5038,Juice,Fruit Burst,Beverages,2,3.63,2.85,123
05/02/2023,REC-Zwb-5659,Coffee,Aussie Roast,Beverages,4,3.02,2.42,172
05/02/2023,REC-nOI-4504,Canned Tomatoes,Hearty Harvest,Pantry,1,5.32,4.54,168
06/02/2023,REC-OiR-4872,Sugar,Sweet Stuff,Pantry,2,7.61,6.17,152
06/02/2023,REC-twK-1616,Pasta,Italian Kitchen,Pantry,3,8.27,6.99,139
06/02/2023,REC-Bwy-0254,Cereal,Morning Crunch,Breakfast,4,5.22,3.84,143
06/02/2023,REC-tSI-4903,Bananas,Tropical Treat,Produce,2,1.78,1.27,68
07/02/2023,REC-zjt-1405,Tomatoes,Sun Kissed,Produce,4,4.07,3.36,58
07/02/2023,REC-UtM-0067,Chips,Salt & Crunch,Snacks,4,4.62,3.51,119
07/02/2023,REC-ejZ-9857,Biscuits,Sweet Treats,Snacks,5,4.65,3.63,128
09/02/2023,REC-lou-0737,Laundry Detergent,Aussie Wash,Household,3,12.28,9.84,63
09/02/2023,REC-frY-1407,Chicken Breast,Butcher's Best,Meat,2,12.43,9.96,159
09/02/2023,REC-hTZ-9828,Bread,Sunrise Bakes,Bakery,3,3.59,2.69,52
10/02/2023,REC-aPQ-3892,Paper Towels,Quick Dry,Household,1,10.59,9.19,97
10/02/2023,REC-oMD-0868,Paper Towels,Quick Dry,Household,5,7.12,5.94,168
10/02/2023,REC-jCS-5541,Bananas,Tropical Treat,Produce,2,2.48,2.14,150
10/02/2023,REC-McZ-5417,Juice,Fresh Squeeze,Beverages,2,6.76,4.97,153
10/02/2023,REC-IAW-5354,Juice,Fruit Burst,Beverages,4,4.31,3.6,77
10/02/2023,REC-SVe-1770,Tomatoes,Sun Kissed,Produce,4,3.06,2.59,164
11/02/2023,REC-UAD-8656,Apples,Orchard Fresh,Produce,3,1.25,1.08,79
11/02/2023,REC-BUf-0769,Cereal,Healthy Start,Breakfast,3,5.0,4.32,189
11/02/2023,REC-zPI-7175,Biscuits,Cookie Crumble,Snacks,4,3.65,2.78,80
12/02/2023,REC-qFn-0133,Canned Tomatoes,Hearty Harvest,Pantry,2,7.86,6.26,73
12/02/2023,REC-cOD-2586,Biscuits,Sweet Treats,Snacks,3,3.39,2.77,156
12/02/2023,REC-Xrt-5814,Lettuce,Crisp Greens,Produce,3,1.82,1.5,138
12/02/2023,REC-EbK-1350,Biscuits,Aussie Bakes,Snacks,4,4.68,3.78,149
12/02/2023,REC-QYb-6102,Pasta,Pasta Perfection,Pantry,5,3.39,2.6,173
13/02/2023,REC-nAM-6419,Sugar,Cane Sugar Co.,Pantry,3,4.65,3.48,73
13/02/2023,REC-AdE-1851,Coffee,Aussie Roast,Beverages,1,3.55,2.71,179
13/02/2023,REC-vGJ-8233,Chips,Salt & Crunch,Snacks,4,3.18,2.84,183
13/02/2023,REC-gzC-7692,Dish Soap,Eco-Wash,Household,4,10.39,8.69,99
14/02/2023,REC-cxV-3712,Soft Drink,Sparkle Beverages,Beverages,1,3.78,3.04,127
14/02/2023,REC-ooB-0991,Rice,Rice King,Pantry,1,6.54,5.39,99
14/02/2023,REC-vne-5652,Dish Soap,Eco-Wash,Household,5,7.84,6.31,103
14/02/2023,REC-ckr-1029,Chicken Breast,Lean Meats,Meat,1,15.44,13.01,70
15/02/2023,REC-euI-3130,Rice,Rice King,Pantry,4,7.4,5.99,81
15/02/2023,REC-YWb-9615,Milk,Farmers Choice,Dairy,4,5.33,4.39,105
15/02/2023,REC-FUZ-2809,Biscuits,Aussie Bakes,Snacks,5,2.51,2.05,114
15/02/2023,REC-WgS-1396,Pasta,Pasta Perfection,Pantry,1,4.18,3.51,55
15/02/2023,REC-OWk-1265,Paper Towels,Handy Wipes,Household,4,5.43,4.52,150
15/02/2023,REC-ilh-8615,Eggs,Golden Yolk,Dairy,1,5.43,4.84,171
15/02/2023,REC-Zwy-4705,Yogurt,Creamy Delights,Dairy,2,4.68,3.69,90
15/02/2023,REC-vxX-6698,Salt,Crystal Co.,Pantry,1,6.36,4.71,191
15/02/2023,REC-Elk-2815,Dish Soap,Power Clean,Household,1,12.12,8.73,98
16/02/2023,REC-SrV-4062,Cereal,Healthy Start,Breakfast,1,5.78,4.8,200
17/02/2023,REC-muH-5908,Biscuits,Cookie Crumble,Snacks,3,4.24,3.2,131
18/02/2023,REC-Dgi-6897,Tea Bags,Tea Time,Beverages,3,4.82,4.01,132
18/02/2023,REC-bNe-4680,Tea Bags,Bushland Brews,Beverages,4,5.43,4.7,105
18/02/2023,REC-iCG-8861,Dish Soap,Sparkle Clean,Household,3,12.42,9.01,138
18/02/2023,REC-ooQ-2980,Chips,Salt & Crunch,Snacks,4,4.22,3.12,136
18/02/2023,REC-RSn-2964,Laundry Detergent,Clean Wave,Household,2,9.63,7.79,136
20/02/2023,REC-niG-4478,Rice,Aussie Grains,Pantry,2,7.78,6.87,193
20/02/2023,REC-wDJ-0008,Biscuits,Aussie Bakes,Snacks,4,2.1,1.79,74
20/02/2023,REC-ihB-0468,Bread,Sunrise Bakes,Bakery,5,5.1,3.76,152
23/02/2023,REC-unI-9542,Dish Soap,Sparkle Clean,Household,3,4.55,3.78,138
23/02/2023,REC-BZh-2052,Coffee,Bean Supreme,Beverages,4,4.4,3.91,120
23/02/2023,REC-YXg-3985,Soft Drink,Fizz Co.,Beverages,2,4.73,4.01,188
23/02/2023,REC-RZK-1918,Apples,Orchard Fresh,Produce,4,2.46,2.01,158
23/02/2023,REC-VxJ-4361,Dish Soap,Eco-Wash,Household,2,10.38,9.07,121
26/02/2023,REC-pCF-7834,Bananas,Island Harvest,Produce,5,3.49,2.6,75
26/02/2023,REC-kUe-2730,Flour,Golden Grains,Pantry,3,4.99,4.31,95
26/02/2023,REC-RsY-8887,Cheese,Blockbuster Cheeses,Dairy,3,4.37,3.77,52
26/02/2023,REC-hqk-7093,Soft Drink,Fizz Co.,Beverages,4,4.19,3.01,57
26/02/2023,REC-pCK-3072,Beef Mince,Farm Fresh Meats,Meat,1,14.93,11.04,149
26/02/2023,REC-xFw-5372,Paper Towels,Handy Wipes,Household,4,3.71,3.29,146
27/02/2023,REC-KYE-6041,Coffee,Urban Brew,Beverages,5,4.98,3.95,131
27/02/2023,REC-AJd-3030,Tomatoes,Vine Ripened,Produce,2,3.15,2.7,163
28/02/2023,REC-Lbm-2133,Soft Drink,Sparkle Beverages,Beverages,4,4.57,3.57,94
28/02/2023,REC-IkS-5382,Apples,Orchard Fresh,Produce,5,3.76,3.13,92
28/02/2023,REC-fBD-4594,Eggs,Farmstead,Dairy,3,6.03,4.78,128
28/02/2023,REC-Zar-9485,Flour,Golden Grains,Pantry,3,7.61,5.46,96
28/02/2023,REC-JHC-4348,Lettuce,Crisp Greens,Produce,3,2.01,1.64,106
28/02/2023,REC-xev-4077,Lettuce,Garden Select,Produce,2,3.81,3.09,110
28/02/2023,REC-ASv-6527,Dish Soap,Sparkle Clean,Household,2,6.37,5.0,120
28/02/2023,REC-LRw-5711,Tomatoes,Sun Kissed,Produce,4,3.74,3.13,165
28/02/2023,REC-tWX-9356,Biscuits,Sweet Treats,Snacks,5,3.38,2.6,190
28/02/2023,REC-Win-9209,Flour,Golden Grains,Pantry,4,3.08,2.49,143
02/03/2023,REC-gKn-7973,Pasta,Italian Kitchen,Pantry,2,4.48,3.46,137
02/03/2023,REC-cVu-0538,Chicken Breast,Lean Meats,Meat,1,12.51,11.2,54
02/03/2023,REC-orz-9184,Bananas,Island Harvest,Produce,1,4.44,3.41,148
02/03/2023,REC-TyR-5465,Juice,Fruit Burst,Beverages,5,4.8,3.74,73
02/03/2023,REC-GqU-9084,Laundry Detergent,Clean Wave,Household,1,5.29,4.54,83
02/03/2023,REC-BBF-8647,Olive Oil,Golden Grove,Pantry,1,2.64,2.3,66
04/03/2023,REC-Mvg-1438,Lettuce,Crisp Greens,Produce,2,3.37,2.51,165
05/03/2023,REC-GAQ-4455,Eggs,Sunny-Side,Dairy,1,4.79,4.33,150
05/03/2023,REC-Pev-7785,Bananas,Tropical Treat,Produce,5,4.36,3.32,99
05/03/2023,REC-ZSw-3089,Dish Soap,Eco-Wash,Household,4,7.81,5.75,55
05/03/2023,REC-eJK-3735,Eggs,Golden Yolk,Dairy,4,3.13,2.67,76
05/03/2023,REC-BKx-9322,Coffee,Bean Supreme,Beverages,4,2.39,1.73,119
05/03/2023,REC-Ils-4404,Coffee,Aussie Roast,Beverages,4,2.6,2.06,175
05/03/2023,REC-DYx-4701,Apples,Orchard Fresh,Produce,3,2.83,2.56,99
06/03/2023,REC-tck-4255,Yogurt,Pure Greek,Dairy,1,6.29,4.63,156
06/03/2023,REC-pxK-6136,Tea Bags,Tea Time,Beverages,3,3.25,2.43,196
06/03/2023,REC-Lac-4644,Sugar,Sweet Stuff,Pantry,4,2.86,2.44,58
06/03/2023,REC-EtW-2935,Cereal,Healthy Start,Breakfast,4,4.84,4.17,163
06/03/2023,REC-bLr-8595,Cheese,Australian Cheeses,Dairy,5,4.83,3.54,129
06/03/2023,REC-IOy-2985,Rice,Rice King,Pantry,3,7.69,5.99,131
07/03/2023,REC-Hic-1034,Flour,The Baker's Choice,Pantry,1,4.87,4.33,128
07/03/2023,REC-xsj-4664,Milk,Meadowland,Dairy,3,2.73,2.43,54
07/03/2023,REC-gob-6099,Milk,Farmers Choice,Dairy,4,4.11,2.95,197
07/03/2023,REC-UcG-4369,Juice,Fresh Squeeze,Beverages,5,2.64,2.07,161
07/03/2023,REC-mVv-7637,Pasta,Pasta Perfection,Pantry,4,8.13,6.32,102
07/03/2023,REC-vvl-7785,Cheese,Australian Cheeses,Dairy,1,6.59,4.83,160
07/03/2023,REC-lJV-4334,Rice,Aussie Grains,Pantry,1,7.63,5.82,59
07/03/2023,REC-bPn-6499,Cheese,Australian Cheeses,Dairy,4,6.06,4.87,172
08/03/2023,REC-KED-2791,Sugar,Cane Sugar Co.,Pantry,3,5.77,5.0,172
08/03/2023,REC-IuN-7989,Lettuce,Garden Select,Produce,2,3.86,3.09,123
08/03/2023,REC-dlR-8587,Olive Oil,Golden Grove,Pantry,3,2.84,2.32,108
08/03/2023,REC-bob-1556,Canned Tomatoes,Simply Canned,Pantry,4,2.92,2.12,178
08/03/2023,REC-ULj-4848,Yogurt,Morning Bliss,Dairy,3,3.14,2.56,178
